year,month,ダイハツ,日野,ホンダ,いすゞ,マツダ,三菱,三菱ふそう,日産,ＳＵＢＡＲＵ,スズキ,トヨタ,UDトラックス,輸入車,合計,source
2019,1,4417,4818,29070,4987,13081,3110,2461,35656,5383,10442,113485,469,21669,249048,http://www.jada.or.jp/contents/data/maker/excel/maker201901.xls
2019,2,4194,6180,34282,6748,16500,3823,2977,40689,9688,11778,135227,650,27674,300410,http://www.jada.or.jp/contents/data/maker/excel/maker201902.xls
2019,3,5342,9622,46595,11766,23977,8475,5285,50350,16022,15146,180624,1247,42922,417373,http://www.jada.or.jp/contents/data/maker/excel/maker201903.xls
2019,4,2662,4041,25505,5126,8401,2551,2745,21812,8151,11047,116970,698,21245,230954,http://www.jada.or.jp/contents/data/maker/excel/maker201904.xls
2019,5,2138,4473,28120,5616,11043,3307,3027,24824,7129,9418,120530,774,26939,247338,http://www.jada.or.jp/contents/data/maker/excel/maker201905.xls
2019,6,2293,6212,34220,7300,10960,3641,4023,31951,9745,8936,134117,1151,35676,290225,http://www.jada.or.jp/contents/data/maker/excel/maker202006.xls
2019,7,2941,6605,33806,8344,13889,3447,3638,31883,10469,9055,149122,717,26883,300799,http://www.jada.or.jp/contents/data/maker/excel/maker202007.xls
2019,8,2111,7280,25887,10311,11395,2857,4252,24611,8170,7847,112318,757,24922,242718,http://www.jada.or.jp/contents/data/maker/excel/maker202008.xls
2019,9,3689,7244,34913,7581,23715,5858,3995,38692,11435,11029,156898,1376,41281,347706,http://www.jada.or.jp/contents/data/maker/excel/maker202009.xls
2019,10,2729,3693,18130,3643,10110,1855,2144,17467,5033,6690,101027,542,19441,192504,http://www.jada.or.jp/contents/data/maker/excel/maker202010.xls
2019,11,5916,4722,20060,4905,10484,2410,2866,21322,7694,7913,123001,764,26787,238844,http://www.jada.or.jp/contents/data/maker/excel/maker202011.xls
2019,12,5177,4901,17473,5115,13008,2411,3859,18863,6156,7983,107885,1243,32877,226951,http://www.jada.or.jp/contents/data/maker/excel/maker202012.xls
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
